   ________________________________________________________________________________

                               Parametric study: press2
   ________________________________________________________________________________

              C10,            D1,             h,         VDISP,         FORCE,
      2.16667e+06,      1.25e-06,     0.0003287,     0.0003287,       343.564,
      2.33333e+06,      1.25e-06,     0.0003287,     0.0003287,       359.355,
          2.5e+06,      1.25e-06,     0.0003287,     0.0003287,       374.333,
          1.5e+06,       1.5e-06,     0.0003287,     0.0003287,        254.95,
      1.66667e+06,       1.5e-06,     0.0003287,     0.0003287,       272.494,
      1.83333e+06,       1.5e-06,     0.0003287,     0.0003287,       288.985,
            2e+06,       1.5e-06,     0.0003287,     0.0003287,       304.557,
      2.16667e+06,       1.5e-06,     0.0003287,     0.0003287,       318.917,
      2.33333e+06,       1.5e-06,     0.0003287,     0.0003287,       332.307,
          2.5e+06,       1.5e-06,     0.0003287,     0.0003287,       345.027,
          1.5e+06,         5e-07,     0.0003488,     0.0003488,       350.729,
      1.66667e+06,         5e-07,     0.0003488,     0.0003488,       382.318,
      1.83333e+06,         5e-07,     0.0003488,     0.0003488,       413.108,
            2e+06,         5e-07,     0.0003488,     0.0003488,       443.108,
      2.16667e+06,         5e-07,     0.0003488,     0.0003488,       471.709,
      2.33333e+06,         5e-07,     0.0003488,     0.0003488,       499.838,
          2.5e+06,         5e-07,     0.0003488,     0.0003488,       527.352,
          1.5e+06,       7.5e-07,     0.0003488,     0.0003488,       323.908,
      1.66667e+06,       7.5e-07,     0.0003488,     0.0003488,       351.568,
      1.83333e+06,       7.5e-07,     0.0003488,     0.0003488,       378.363,
            2e+06,       7.5e-07,     0.0003488,     0.0003488,         404.3,
      2.16667e+06,       7.5e-07,     0.0003488,     0.0003488,       428.468,
      2.33333e+06,       7.5e-07,     0.0003488,     0.0003488,       451.785,
          2.5e+06,       7.5e-07,     0.0003488,     0.0003488,       474.397,
          1.5e+06,         1e-06,     0.0003488,     0.0003488,       303.225,
      1.66667e+06,         1e-06,     0.0003488,     0.0003488,       327.244,
      1.83333e+06,         1e-06,     0.0003488,     0.0003488,       350.201,
            2e+06,         1e-06,     0.0003488,     0.0003488,       371.723,
      2.16667e+06,         1e-06,     0.0003488,     0.0003488,       391.805,
      2.33333e+06,         1e-06,     0.0003488,     0.0003488,       411.027,
